testCase_id,testcase_name,duration_sec,status,start_time,end_time,upload_time,time_since_last_run
10,PaintProSystem_ResetPosition {Autobot1},0.69,Passed,2025-05-28 18:09:13.800,2025-05-28 18:09:14.490,2025-05-28 18:09:58.977880,0 days 00:27:50.214068
10,PaintProSystem_ResetPosition {Autobot1},1.2,Passed,2025-05-28 19:50:33.727,2025-05-28 19:50:34.927,2025-05-28 19:51:28.559985,0 days 01:41:29.582105
10,PaintProSystem_ResetPosition {Autobot1},1.46,Passed,2025-05-28 20:28:27.063,2025-05-28 20:28:28.520,2025-05-28 20:29:13.760958,0 days 00:37:45.200973
10,PaintProSystem_ResetPosition {Autobot1},0.34,Passed,2025-05-29 11:22:51.033,2025-05-29 11:22:51.373,2025-05-29 11:23:31.495226,0 days 14:54:17.734268
10,PaintProSystem_ResetPosition {Autobot1},1.5,Passed,2025-05-31 19:58:25.657,2025-05-31 19:58:27.160,2025-05-31 19:59:14.994027,2 days 08:35:43.498801
10,PaintProSystem_ResetPosition {Autobot1},1.96,Passed,2025-05-31 21:04:11.177,2025-05-31 21:04:13.137,2025-05-31 21:04:56.354866,0 days 01:05:41.360839
10,PaintProSystem_ResetPosition {Autobot1},0.77,Passed,2025-05-31 21:28:10.053,2025-05-31 21:28:10.827,2025-05-31 21:28:58.436817,0 days 00:24:02.081951
10,PaintProSystem_ResetPosition {Autobot1},0.77,Passed,2025-05-31 21:28:10.053,2025-05-31 21:28:10.827,2025-05-31 22:11:03.274226,0 days 00:42:04.837409
10,PaintProSystem_ResetPosition {Autobot1},1.79,Passed,2025-05-31 22:14:34.370,2025-05-31 22:14:36.157,2025-05-31 22:15:21.111615,0 days 00:04:17.837389
10,PaintProSystem_ResetPosition {Autobot1},1.79,Passed,2025-05-31 22:14:34.370,2025-05-31 22:14:36.157,2025-05-31 22:57:26.934826,0 days 00:42:05.823211
